name,cover_url,price,author,publisher,labels,ISBN,publish_time,pages
来不及年轻就老了,https://img.dushu.com/2019/09/25/111105909392125166.jpg_200.jpg,¥49.80,悟澹 著,广东人民出版社,暂缺,9787218113821,2019-10-01,208
左江花山岩画文化景观图典,https://img.dushu.com/2019/09/25/111134468392125508.jpg_200.jpg,¥500.00,中国人民政治协商会议广西壮族自治区委员会 著,广西人民出版社,暂缺,9787219107621,2019-09-01,512
中国考古大发现（增订本）,https://img.dushu.com/2019/09/25/111135493392128125.jpg_200.jpg,¥55.50,刘尊志 编,齐鲁书社,暂缺,9787533341510,2019-09-01,
福江省汀江流域考古调查报告,https://img.dushu.com/2019/09/25/111138765392124124.jpg_200.jpg,¥298.00,福建博物院文物考古研究所，龙岩市文物局，龙岩市博物馆 著,科学出版社,暂缺,9787030619662,2019-08-01,376
边疆考古研究（第25辑）,https://img.dushu.com/2019/09/25/111139721392122837.jpg_200.jpg,¥168.00,教育部人文社会科学重点研究基地吉林大学边疆考古研究中心边疆考古与中国文化认同协同创新中心 著,科学出版社,暂缺,9787030620767,2019-08-01,440
登封双庙战国秦汉墓地,https://img.dushu.com/2019/09/25/111140609392122423.jpg_200.jpg,¥358.00,河南省文物考古研究院，武汉大学历史学院考古系 著,科学出版社,暂缺,9787030619785,2019-08-01,364
幽燕长歌：燕国历史文化展,https://img.dushu.com/2019/09/25/111142219392123470.jpg_200.jpg,¥360.00,侯宁彬，天津博物馆 编,西北大学出版社,暂缺,9787560443812,2019-07-01,207
中国共产党在广西,https://img.dushu.com/2019/09/25/111130323392123512.jpg_200.jpg,¥36.00,陈立生，庾新顺，黄莺 著,广西人民出版社,暂缺,9787219108338,2019-09-01,
小蛙人漫游记：了不起的鱼爸爸,https://img.dushu.com/2019/03/16/103301844110081074.jpg_200.jpg,¥20.00,杨红樱 著,安徽少年儿童出版社,暂缺,9787570701926,2019-03-01,128
梅花诗话：中日古典诗歌中的梅花意象比较研究,https://img.dushu.com/2019/09/06/081054460188689900.jpg_200.jpg,¥38.00,韩雯 著,南开大学出版社,暂缺,9787310058075,2019-07-01,377
正书六家·三品课堂：刘颜涛简析《墙盘》与《毛公鼎》,https://img.dushu.com/2019/09/09/163118827299927873.jpg_200.jpg,¥49.80,刘颜涛 著,河南美术出版社,暂缺,9787540147372,2019-06-01,135
宗一圣论 古本大学释论,https://img.dushu.com/2019/09/09/163833324299929883.jpg_200.jpg,¥50.00,张昭炜 整理,复旦大学出版社,暂缺,9787309142419,2019-09-01,
倾城才女传记系列（套装全4册）,https://img.dushu.com/2019/09/18/083347947107243087.jpg_200.jpg,¥153.80,赵彤彤，吴玲，齐芳，张晓立 著,华中科技大学出版社,暂缺,9787568054607,2019-09-01,
中国书法一点通（盒装4册）,https://img.dushu.com/2019/09/15/093220961230523585.jpg_200.jpg,¥196.00,任犀然 编,线装书局,暂缺,9787512033160,2019-03-01,
小人儿,https://img.dushu.com/2019/09/18/08414460107247027.jpg_200.jpg,¥49.80,亦舒 著,湖南文艺出版社,暂缺,9787540492533,2019-09-01,256
name,cover_url,price,author,publisher,labels,ISBN,publish_time,pages
来不及年轻就老了,https://img.dushu.com/2019/09/25/111105909392125166.jpg_200.jpg,¥49.80,悟澹 著,广东人民出版社,暂缺,9787218113821,2019-10-01,208
